state,locality_type,household_size,income_bracket,e-literacy_level,total_devices_owned,avg_device_age_years,broken_devices_stored,upgrade_tendency,disposal_method,recycling_awareness,ewaste_kg_per_year
Telangana,Rural,6,Low,Basic,4,6.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.34
Andhra Pradesh,Urban,4,Upper-Middle,Advanced,18,3.0,1,Medium,Formal E-Waste Collection,Medium,4.74
Telangana,Rural,6,Low,Basic,4,8.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.26
Delhi,Urban,4,Upper-Middle,Intermediate,13,3.1,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,7.57
Telangana,Urban,6,Middle,Basic,14,4.1,2,Medium,Thrown in General Trash,Low,1.91
Rajasthan,Urban,4,Middle,Basic,15,5.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.8
Maharashtra,Rural,4,Upper-Middle,Basic,10,5.0,0,Low,Thrown in General Trash,Low,1.29
Maharashtra,Urban,6,Low,Basic,6,6.2,0,Low,Gave away for reuse,Low,0.77
Maharashtra,Urban,5,Low,Basic,5,7.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.4
Gujarat,Urban,4,Middle,Basic,13,4.1,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.28
Karnataka,Urban,8,Low,Basic,9,7.6,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Gujarat,Rural,4,Middle,Basic,5,6.3,1,Low,Gave away for reuse,Low,0.0
Rajasthan,Urban,4,Upper-Middle,Intermediate,14,2.9,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,6.61
Uttar Pradesh,Rural,5,Low,Basic,8,9.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.63
Tamil Nadu,Urban,5,Middle,Basic,15,4.3,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.28
Jharkhand,Urban,7,Low,Basic,5,5.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.65
Gujarat,Urban,5,Middle,Intermediate,15,4.8,0,Medium,Stored Indefinitely,Low,0.0
Rajasthan,Urban,5,Upper-Middle,Intermediate,19,3.4,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,6.85
Madhya Pradesh,Rural,4,Middle,Basic,12,5.8,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.62
Jharkhand,Rural,8,Low,Basic,4,7.2,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Jharkhand,Urban,7,Low,Basic,5,5.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.44
Andhra Pradesh,Rural,4,Middle,Basic,8,6.4,1,Low,Gave away for reuse,Low,0.03
Tamil Nadu,Urban,4,Middle,Basic,10,3.8,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.98
Karnataka,Urban,7,Low,Basic,7,6.4,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Tamil Nadu,Urban,5,Middle,Intermediate,10,5.4,1,Medium,Thrown in General Trash,Low,0.79
Karnataka,Urban,8,Low,Basic,10,7.9,0,Low,Thrown in General Trash,Low,0.92
Tamil Nadu,Rural,6,Middle,Basic,8,5.8,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.1
Delhi,Urban,5,Middle,Advanced,9,4.7,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.78
Uttar Pradesh,Rural,6,Low,Basic,4,6.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Tamil Nadu,Rural,5,Middle,Basic,4,7.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.41
Haryana,Urban,6,Middle,Basic,8,3.6,1,Medium,Stored Indefinitely,Low,0.0
Jharkhand,Rural,8,Low,Basic,5,8.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.35
Madhya Pradesh,Rural,6,Low,Basic,5,6.7,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Kerala,Urban,6,Middle,Basic,15,5.1,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,3.64
Andhra Pradesh,Rural,6,Low,Basic,4,8.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Odisha,Rural,6,Middle,Basic,9,6.5,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.08
Punjab,Urban,7,Low,Basic,6,7.0,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,5,Low,Basic,8,7.1,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Madhya Pradesh,Rural,8,Low,Basic,5,8.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.47
Jharkhand,Urban,4,Middle,Intermediate,12,4.4,1,Medium,Formal E-Waste Collection,Medium,2.06
Uttar Pradesh,Rural,7,Low,Basic,5,8.8,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Urban,6,Middle,Intermediate,12,5.3,0,Medium,Thrown in General Trash,Medium,2.64
Kerala,Urban,6,Middle,Advanced,11,3.9,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.75
Telangana,Rural,3,Upper-Middle,Basic,16,4.5,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.25
Telangana,Rural,6,Middle,Basic,7,6.7,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,7,Low,Basic,6,5.7,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Gujarat,Urban,3,Upper-Middle,Basic,15,2.6,0,High,Sold to Kabadiwala/Scrap Dealer,High,11.8
Tamil Nadu,Rural,3,Upper-Middle,Basic,10,4.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.52
Telangana,Urban,6,Low,Basic,6,6.8,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Jharkhand,Rural,6,Low,Basic,5,7.7,1,Low,Stored Indefinitely,Low,0.0
Uttar Pradesh,Urban,6,Low,Basic,11,5.3,2,Low,Thrown in General Trash,Low,0.0
Bihar,Urban,7,Low,Basic,8,7.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.8
Bihar,Urban,6,Low,Basic,8,5.9,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.09
Andhra Pradesh,Rural,4,Middle,Basic,9,5.1,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.39
Rajasthan,Urban,6,Middle,Intermediate,14,4.9,1,Medium,Gave away for reuse,Medium,2.13
Tamil Nadu,Urban,5,Middle,Advanced,15,4.9,1,Medium,Gave away for reuse,High,2.0
Punjab,Rural,5,Low,Basic,4,7.7,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Gujarat,Urban,6,Low,Basic,5,7.7,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Haryana,Rural,4,Middle,Basic,6,6.9,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Jharkhand,Rural,8,Low,Basic,6,9.4,0,Low,Thrown in General Trash,Low,0.48
Tamil Nadu,Rural,4,High,Basic,19,3.6,1,Medium,Thrown in General Trash,Low,4.65
West Bengal,Rural,5,Low,Basic,5,8.4,1,Low,Formal E-Waste Collection,Low,0.0
Rajasthan,Urban,4,Middle,Intermediate,10,5.1,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.43
Odisha,Urban,7,Low,Basic,5,6.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.47
Gujarat,Urban,4,Middle,Intermediate,14,4.7,0,Medium,Gave away for reuse,Low,3.41
Delhi,Urban,5,Low,Basic,7,7.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.76
Gujarat,Urban,4,Middle,Advanced,11,3.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.64
Rajasthan,Urban,4,Middle,Advanced,9,4.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.51
Gujarat,Rural,6,Low,Basic,5,8.7,2,Low,Formal E-Waste Collection,Low,0.0
Maharashtra,Urban,6,Low,Basic,10,6.6,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Jharkhand,Urban,6,Middle,Basic,13,4.3,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.09
Uttar Pradesh,Urban,8,Low,Basic,7,6.5,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Urban,8,Low,Basic,8,7.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.71
Gujarat,Urban,7,Low,Basic,5,7.1,1,Low,Stored Indefinitely,Low,0.0
Bihar,Rural,5,Low,Basic,5,7.9,0,Low,Thrown in General Trash,Low,0.4
Haryana,Urban,5,Low,Basic,8,6.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.01
Delhi,Rural,5,Middle,Basic,4,6.1,0,Low,Formal E-Waste Collection,Low,0.45
Bihar,Urban,6,Middle,Basic,10,4.4,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,0.7
Telangana,Urban,8,Low,Basic,9,6.2,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Rural,4,Upper-Middle,Basic,11,5.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.29
Gujarat,Rural,6,Middle,Basic,4,6.6,0,Low,Thrown in General Trash,Low,0.35
West Bengal,Rural,6,Low,Basic,4,6.8,1,Low,Formal E-Waste Collection,Low,0.0
Maharashtra,Urban,8,Low,Basic,8,7.9,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.74
Tamil Nadu,Urban,6,Middle,Intermediate,15,3.6,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,4.2
Tamil Nadu,Rural,5,Upper-Middle,Basic,16,4.6,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.59
Madhya Pradesh,Urban,6,Middle,Basic,9,3.6,1,Medium,Sold to Kabadiwala/Scrap Dealer,High,2.03
Jharkhand,Urban,7,Low,Basic,9,6.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.92
Kerala,Urban,8,Low,Basic,7,7.0,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Kerala,Urban,8,Low,Basic,5,5.6,0,Low,Thrown in General Trash,Low,0.66
Punjab,Urban,4,Middle,Intermediate,10,4.9,0,Medium,Formal E-Waste Collection,Medium,1.74
Odisha,Urban,4,Middle,Basic,13,5.4,0,Medium,Thrown in General Trash,Medium,2.32
Punjab,Urban,5,Upper-Middle,Advanced,17,2.7,0,High,Formal E-Waste Collection,High,11.24
Karnataka,Urban,7,Low,Basic,8,7.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.62
Kerala,Rural,6,Low,Basic,6,7.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.5
Punjab,Urban,6,Low,Basic,6,6.8,0,Low,Stored Indefinitely,Low,0.0
Jharkhand,Rural,6,Middle,Basic,8,5.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.0
Haryana,Rural,5,Low,Basic,4,8.3,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Uttar Pradesh,Urban,6,Middle,Basic,8,3.8,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.37
Andhra Pradesh,Urban,4,Middle,Advanced,9,3.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.7
Bihar,Rural,7,Low,Basic,4,7.3,2,Low,Formal E-Waste Collection,Low,0.0
Tamil Nadu,Urban,5,Low,Basic,11,6.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.3
Maharashtra,Urban,6,Low,Basic,10,7.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.87
Haryana,Rural,6,Low,Basic,4,8.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.26
Rajasthan,Urban,7,Low,Basic,6,7.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.57
Odisha,Rural,8,Low,Basic,5,7.3,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Madhya Pradesh,Urban,6,Middle,Basic,11,4.7,0,Medium,Gave away for reuse,Low,1.66
Madhya Pradesh,Urban,2,High,Advanced,26,3.0,0,High,Formal E-Waste Collection,Medium,16.87
West Bengal,Urban,5,Middle,Basic,14,5.5,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.98
Andhra Pradesh,Urban,4,Upper-Middle,Intermediate,12,3.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,High,3.13
Jharkhand,Urban,4,Middle,Intermediate,11,4.1,1,Medium,Thrown in General Trash,Low,1.94
Madhya Pradesh,Urban,3,High,Advanced,23,2.3,0,High,Sold to Kabadiwala/Scrap Dealer,High,14.94
Kerala,Urban,6,Low,Basic,7,6.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.66
Haryana,Urban,3,Upper-Middle,Intermediate,19,3.6,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,6.09
Haryana,Rural,4,Middle,Basic,4,6.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.4
Karnataka,Rural,6,Low,Basic,4,6.8,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Rural,4,Middle,Basic,6,5.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.81
Punjab,Urban,2,High,Advanced,25,2.2,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,20.4
Madhya Pradesh,Rural,2,High,Basic,24,3.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,7.38
Rajasthan,Rural,3,Upper-Middle,Basic,9,4.8,0,Low,Formal E-Waste Collection,Low,1.18
Delhi,Urban,8,Low,Basic,6,5.6,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Maharashtra,Rural,6,Middle,Basic,4,6.8,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,6,Low,Basic,5,7.8,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Tamil Nadu,Rural,8,Low,Basic,4,9.4,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Gujarat,Urban,7,Low,Basic,11,5.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.06
Uttar Pradesh,Urban,4,Middle,Advanced,10,5.4,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.93
Gujarat,Rural,8,Low,Basic,4,9.2,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Maharashtra,Rural,6,Middle,Basic,10,5.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.07
Kerala,Urban,5,Low,Basic,5,5.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.44
Punjab,Urban,5,Low,Basic,6,7.9,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Haryana,Urban,5,Upper-Middle,Intermediate,17,4.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,3.72
West Bengal,Rural,4,Middle,Basic,12,5.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.69
Haryana,Rural,5,Middle,Basic,7,6.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.89
Andhra Pradesh,Urban,8,Low,Basic,11,7.4,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Urban,5,Low,Basic,8,6.9,1,Low,Thrown in General Trash,Low,0.0
Karnataka,Urban,5,Middle,Intermediate,15,4.7,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,3.15
Kerala,Urban,8,Low,Basic,9,7.4,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Urban,7,Low,Basic,6,6.0,0,Low,Formal E-Waste Collection,Low,0.69
Madhya Pradesh,Rural,6,Middle,Basic,4,6.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Tamil Nadu,Rural,6,Middle,Basic,7,5.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.06
West Bengal,Urban,5,Middle,Intermediate,10,5.3,0,Medium,Formal E-Waste Collection,Medium,2.24
Delhi,Rural,6,Middle,Basic,11,6.0,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Telangana,Urban,4,Middle,Intermediate,13,4.1,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.14
Tamil Nadu,Rural,3,Upper-Middle,Basic,8,5.1,0,Low,Gave away for reuse,Low,0.89
Karnataka,Urban,6,Middle,Intermediate,14,3.6,1,Medium,Gave away for reuse,Low,4.28
Odisha,Rural,5,Upper-Middle,Basic,10,4.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.61
Rajasthan,Urban,4,Middle,Basic,15,3.9,1,Medium,Gave away for reuse,Medium,3.42
Punjab,Urban,5,Low,Basic,11,6.9,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.91
Andhra Pradesh,Rural,7,Low,Basic,4,8.7,1,Low,Stored Indefinitely,Low,0.0
Bihar,Rural,3,Upper-Middle,Basic,12,4.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.24
Bihar,Urban,5,Upper-Middle,Intermediate,18,3.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,4.7
Delhi,Urban,4,Middle,Advanced,8,4.7,1,Medium,Thrown in General Trash,Medium,1.3
Andhra Pradesh,Urban,8,Low,Basic,7,5.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.82
Maharashtra,Urban,4,High,Advanced,31,2.4,1,High,Formal E-Waste Collection,High,24.62
Haryana,Urban,8,Low,Basic,10,5.5,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.43
Odisha,Urban,5,Middle,Intermediate,10,5.4,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.08
Uttar Pradesh,Urban,5,Middle,Basic,15,5.4,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.24
West Bengal,Urban,6,Middle,Intermediate,14,3.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,3.23
Madhya Pradesh,Urban,7,Low,Basic,8,5.1,2,Low,Thrown in General Trash,Low,0.0
Odisha,Urban,6,Low,Basic,10,6.8,0,Low,Stored Indefinitely,Low,0.0
Odisha,Urban,3,Upper-Middle,Intermediate,14,3.6,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,4.15
Punjab,Urban,5,Upper-Middle,Intermediate,15,3.4,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,4.68
Jharkhand,Urban,3,Upper-Middle,Intermediate,19,3.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,5.74
Punjab,Rural,7,Low,Basic,4,8.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.29
Rajasthan,Urban,7,Low,Basic,8,6.5,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.02
Uttar Pradesh,Urban,3,Upper-Middle,Intermediate,15,2.7,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,10.68
Bihar,Urban,4,Upper-Middle,Intermediate,19,4.0,1,Medium,Thrown in General Trash,Low,4.8
Karnataka,Urban,7,Low,Basic,8,5.8,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Haryana,Urban,6,Low,Basic,11,7.1,2,Low,Thrown in General Trash,Low,0.0
Telangana,Urban,5,Middle,Intermediate,9,5.2,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.95
Jharkhand,Urban,5,Upper-Middle,Advanced,21,3.4,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,5.77
Karnataka,Rural,6,Low,Basic,4,6.5,1,Low,Thrown in General Trash,Low,0.0
Bihar,Rural,3,Upper-Middle,Basic,11,4.1,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.22
Madhya Pradesh,Rural,6,Low,Basic,6,9.1,1,Low,Stored Indefinitely,Low,0.0
West Bengal,Urban,3,Upper-Middle,Intermediate,13,3.4,0,Medium,Thrown in General Trash,Low,3.85
Karnataka,Urban,5,Low,Basic,10,7.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.79
Andhra Pradesh,Urban,6,Middle,Intermediate,14,3.5,2,Medium,Sold to Kabadiwala/Scrap Dealer,High,2.49
Kerala,Urban,8,Low,Basic,11,7.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.95
Haryana,Urban,6,Middle,Intermediate,8,4.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.58
West Bengal,Rural,5,Middle,Basic,9,6.7,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.08
Delhi,Urban,6,Low,Basic,9,7.5,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Punjab,Rural,4,High,Basic,23,3.1,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,7.23
Odisha,Rural,5,Middle,Basic,10,5.6,1,Low,Formal E-Waste Collection,Low,0.4
Delhi,Urban,2,High,Advanced,29,1.7,0,High,Sold to Kabadiwala/Scrap Dealer,High,26.84
Andhra Pradesh,Rural,4,Middle,Basic,9,5.0,1,Low,Formal E-Waste Collection,Low,0.29
Uttar Pradesh,Rural,4,Upper-Middle,Basic,8,5.2,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.7
Karnataka,Rural,4,High,Basic,29,4.2,1,Medium,Formal E-Waste Collection,Low,6.22
Telangana,Urban,7,Low,Basic,7,7.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.62
Gujarat,Rural,8,Low,Basic,4,9.3,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Maharashtra,Urban,5,Upper-Middle,Intermediate,17,3.0,0,High,Formal E-Waste Collection,Medium,8.59
Rajasthan,Urban,8,Low,Basic,6,6.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.52
Haryana,Urban,6,Low,Basic,9,7.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.98
Rajasthan,Rural,5,Middle,Basic,10,5.1,0,Low,Gave away for reuse,Low,1.29
Karnataka,Rural,4,Middle,Basic,4,5.7,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Uttar Pradesh,Rural,5,Low,Basic,4,9.4,0,Low,Gave away for reuse,Low,0.25
Uttar Pradesh,Urban,3,High,Advanced,34,2.2,0,High,Sold to Kabadiwala/Scrap Dealer,High,27.82
Tamil Nadu,Urban,3,Upper-Middle,Intermediate,18,2.7,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,6.19
Kerala,Rural,4,Middle,Basic,4,5.4,0,Low,Thrown in General Trash,Low,0.36
Karnataka,Urban,6,Middle,Intermediate,12,3.6,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.45
Maharashtra,Urban,5,Middle,Advanced,8,5.2,1,Medium,Formal E-Waste Collection,Medium,0.97
Telangana,Urban,6,Middle,Intermediate,9,4.3,0,Medium,Formal E-Waste Collection,Medium,1.74
Bihar,Urban,6,Middle,Intermediate,12,3.6,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.21
Andhra Pradesh,Rural,5,Middle,Basic,8,6.8,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Punjab,Urban,8,Low,Basic,9,6.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.78
Karnataka,Urban,2,High,Advanced,20,2.1,0,High,Formal E-Waste Collection,High,14.86
Jharkhand,Urban,6,Middle,Basic,10,4.8,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,0.86
Madhya Pradesh,Urban,4,Middle,Intermediate,9,4.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,2.13
Tamil Nadu,Urban,6,Low,Basic,6,6.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Maharashtra,Urban,6,Middle,Basic,12,4.7,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.02
Telangana,Urban,5,Low,Basic,6,6.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.62
Delhi,Urban,6,Low,Basic,6,7.1,1,Low,Thrown in General Trash,Low,0.0
Delhi,Urban,6,Low,Basic,7,8.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.48
Odisha,Urban,5,Middle,Intermediate,10,4.2,0,Medium,Thrown in General Trash,High,2.91
Punjab,Rural,4,Middle,Basic,12,6.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.97
Uttar Pradesh,Urban,5,Middle,Intermediate,15,5.1,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,4.67
Rajasthan,Urban,6,Middle,Intermediate,10,4.7,2,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,0.98
Maharashtra,Rural,5,Low,Basic,4,8.8,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
